locality,region,pop,proper
texas-city,tx,55667,Texas City
the-colony,tx,45367,The Colony
tyler,tx,109286,Tyler
university-park,tx,25032,University Park
victoria,tx,65372,Victoria
waco,tx,143984,Waco
watauga,tx,23050,Watauga
waxahachie,tx,45476,Waxahachie
weatherford,tx,36251,Weatherford
weslaco,tx,42231,Weslaco
wichita-falls,tx,102664,Wichita Falls
wylie,tx,60943,Wylie
american-fork,ut,37268,American Fork
bountiful,ut,44481,Bountiful
cedar-city,ut,38692,Cedar City
clearfield,ut,34062,Clearfield
clinton,ut,23538,Clinton
cottonwood-heights,ut,32420,Cottonwood Heights
draper,ut,50731,Draper
eagle-mountain,ut,54149,Eagle Mountain
farmington,ut,25660,Farmington
herriman,ut,59179,Herriman
holladay,ut,30816,Holladay
hurricane,ut,23077,Hurricane
kaysville,ut,32761,Kaysville
kearns-metroship,ut,37249,Kearns metroship
layton,ut,82601,Layton
lehi,ut,84373,Lehi
logan,ut,54680,Logan
magna-metroship,ut,29668,Magna metroship
midvale,ut,35637,Midvale
millcreek,ut,63034,Millcreek
murray,ut,49463,Murray
north-ogden,ut,21855,North Ogden
north-salt-lake,ut,22537,North Salt Lake
ogden,ut,86825,Ogden
orem,ut,95910,Orem
payson,ut,22516,Payson
pleasant-grove,ut,37630,Pleasant Grove
provo,ut,113523,Provo
riverton,ut,44599,Riverton
roy,ut,38785,Roy
salt-lake-city,ut,204657,Salt Lake City
sandy,ut,93022,Sandy
saratoga-springs,ut,49354,Saratoga Springs
south-jordan,ut,83513,South Jordan
south-salt-lake,ut,26003,South Salt Lake
spanish-fork,ut,44102,Spanish Fork
springville,ut,35832,Springville
st-george,ut,102519,St. George
syracuse,ut,35561,Syracuse
taylorsville,ut,57879,Taylorsville
tooele,ut,38588,Tooele
washington,ut,32709,Washington
west-haven,ut,22395,West Haven
west-jordan,ut,116664,West Jordan
west-valley-city,ut,136650,West Valley City
burlington,vt,44595,Burlington
south-burlington,vt,20624,South Burlington
alexandria,va,155525,Alexandria
blacksburg,va,45610,Blacksburg
charlottesville,va,45373,Charlottesville
chesapeake,va,252488,Chesapeake
christiansburg,va,22562,Christiansburg
culpeper,va,20764,Culpeper
danville,va,42229,Danville
fairfax,va,24835,Fairfax
fredericksburg,va,28757,Fredericksburg
hampton,va,138037,Hampton
harrisonburg,va,51158,Harrisonburg
herndon,va,24167,Herndon
hopewell,va,22962,Hopewell
leesburg,va,48974,Leesburg
lynchburg,va,79287,Lynchburg
manassas,va,42642,Manassas
newport-news,va,184306,Newport News
norfolk,va,232995,Norfolk
petersburg,va,33394,Petersburg
portsmouth,va,97029,Portsmouth
richmond,va,229395,Richmond
roanoke,va,97847,Roanoke
salem,va,25523,Salem
staunton,va,25904,Staunton
suffolk,va,98537,Suffolk
virginia-beach,va,455618,Virginia Beach
waynesboro,va,22808,Waynesboro
winchester,va,27936,Winchester
arlington,wa,21059,Arlington
auburn,wa,84858,Auburn
bainbridge-island,wa,24494,Bainbridge Island
battle-ground,wa,21628,Battle Ground
bellevue,wa,152767,Bellevue
bellingham,wa,93896,Bellingham
bonney-lake,wa,22885,Bonney Lake
bothell,wa,49017,Bothell
bremerton,wa,45415,Bremerton
burien,wa,50806,Burien
camas,wa,27371,Camas
covington,wa,21374,Covington
des-moines,wa,32408,Des Moines
edmonds,wa,42593,Edmonds
everett,wa,111337,Everett
federal-way,wa,97863,Federal Way
issaquah,wa,39344,Issaquah
kenmore,wa,23478,Kenmore
kennewick,wa,84750,Kennewick
kent,wa,134392,Kent
kirkland,wa,92151,Kirkland
lacey,wa,58552,Lacey
lake-stevens,wa,39848,Lake Stevens
lakewood,wa,62572,Lakewood
longview,wa,37782,Longview
lynnwood,wa,43212,Lynnwood
maple-valley,wa,28220,Maple Valley
marysville,wa,72275,Marysville
mercer-island,wa,25172,Mercer Island
mill-creek,wa,20828,Mill Creek
moses-lake,wa,25888,Moses Lake
mount-vernon,wa,35527,Mount Vernon
mountlake-terrace,wa,21543,Mountlake Terrace
mukilteo,wa,21096,Mukilteo
oak-harbor,wa,24403,Oak Harbor
olympia,wa,55669,Olympia
pasco,wa,79315,Pasco
port-angeles,wa,20060,Port Angeles
pullman,wa,32508,Pullman
puyallup,wa,42452,Puyallup
redmond,wa,76732,Redmond
renton,wa,104047,Renton
richland,wa,62821,Richland
sammamish,wa,65845,Sammamish
seatac,wa,30525,SeaTac
seattle,wa,749256,Seattle
shoreline,wa,59690,Shoreline
spokane,wa,230160,Spokane
spokane-valley,wa,107325,Spokane Valley
tacoma,wa,221776,Tacoma
tukwila,wa,21377,Tukwila
tumwater,wa,26369,Tumwater
university-place,wa,34634,University Place
vancouver,wa,194512,Vancouver
walla-walla,wa,33492,Walla Walla
wenatchee,wa,35433,Wenatchee
yakima,wa,97012,Yakima
charleston,wv,47129,Charleston
huntington,wv,45746,Huntington
morgantown,wv,30277,Morgantown
parkersburg,wv,29193,Parkersburg
wheeling,wv,26391,Wheeling
appleton,wi,74511,Appleton
beloit,wi,36449,Beloit
brookfield,wi,41958,Brookfield
caledonia,wi,25208,Caledonia
de-pere,wi,25361,De Pere
eau-claire,wi,69737,Eau Claire
fitchburg,wi,30834,Fitchburg
fond-du-lac,wi,44339,Fond du Lac
franklin,wi,36066,Franklin
germantown,wi,21015,Germantown
green-bay,wi,106095,Green Bay
greenfield,wi,37071,Greenfield
howard,wi,20460,Howard
janesville,wi,65911,Janesville
kenosha,wi,98484,Kenosha
la-crosse,wi,51380,La Crosse
madison,wi,272903,Madison
manitowoc,wi,34570,Manitowoc
menomonee-falls,wi,39246,Menomonee Falls
mequon,wi,25337,Mequon
middleton,wi,22328,Middleton
milwaukee,wi,563305,Milwaukee
mount-pleasant,wi,27597,Mount Pleasant
muskego,wi,25150,Muskego
neenah,wi,27361,Neenah
new-berlin,wi,40315,New Berlin
oak-creek,wi,36087,Oak Creek
oshkosh,wi,65948,Oshkosh
pleasant-prairie,wi,21840,Pleasant Prairie
racine,wi,76462,Racine
sheboygan,wi,49773,Sheboygan
south-milwaukee,wi,20309,South Milwaukee
stevens-point,wi,25716,Stevens Point
sun-prairie,wi,36653,Sun Prairie
superior,wi,26459,Superior
watertown,wi,22784,Watertown
waukesha,wi,70454,Waukesha
wausau,wi,39833,Wausau
wauwatosa,wi,47289,Wauwatosa
west-allis,wi,58950,West Allis
west-bend,wi,31604,West Bend
casper,wy,58543,Casper
cheyenne,wy,64610,Cheyenne
gillette,wy,33264,Gillette
laramie,wy,32035,Laramie
rock-springs,wy,23021,Rock Springs
