locality,region,pop,proper
biloxi,ms,49118,Biloxi
brandon,ms,25502,Brandon
clinton,ms,26996,Clinton
columbus,ms,23273,Columbus
greenville,ms,28017,Greenville
gulfport,ms,72236,Gulfport
hattiesburg,ms,48455,Hattiesburg
horn-lake,ms,26550,Horn Lake
jackson,ms,145995,Jackson
madison,ms,27775,Madison
meridian,ms,33816,Meridian
olive-branch,ms,47086,Olive Branch
oxford,ms,26437,Oxford
pascagoula,ms,21650,Pascagoula
pearl,ms,27682,Pearl
ridgeland,ms,24404,Ridgeland
southaven,ms,56360,Southaven
starkville,ms,24168,Starkville
tupelo,ms,37748,Tupelo
vicksburg,ms,20391,Vicksburg
arnold,mo,20845,Arnold
ballwin,mo,30622,Ballwin
belton,mo,25420,Belton
blue-springs,mo,59518,Blue Springs
cape-girardeau,mo,40377,Cape Girardeau
chesterfield,mo,49327,Chesterfield
columbia,mo,128555,Columbia
florissant,mo,51506,Florissant
gladstone,mo,26907,Gladstone
grandview,mo,25610,Grandview
hazelwood,mo,25047,Hazelwood
independence,mo,121202,Independence
jefferson-city,mo,42528,Jefferson City
joplin,mo,52518,Joplin
kansas-city,mo,509297,Kansas City
kirkwood,mo,29279,Kirkwood
lees-summit,mo,103465,Lee's Summit
liberty,mo,30775,Liberty
maryland-heights,mo,27769,Maryland Heights
nixa,mo,24749,Nixa
ofallon,mo,93663,O'Fallon
ozark,mo,22512,Ozark
raymore,mo,24203,Raymore
raytown,mo,29312,Raytown
rolla,mo,20322,Rolla
sedalia,mo,21947,Sedalia
springfield,mo,170067,Springfield
st-charles,mo,71184,St. Charles
st-joseph,mo,70656,St. Joseph
st-louis,mo,286578,St. Louis
st-peters,mo,58523,St. Peters
university-city,mo,34355,University City
webster-groves,mo,23610,Webster Groves
wentzville,mo,47197,Wentzville
wildwood,mo,34954,Wildwood
billings,mt,119960,Billings
bozeman,mt,56123,Bozeman
butte-silver-bow-balance,mt,35416,Butte-Silver Bow (balance)
great-falls,mt,60382,Great Falls
helena,mt,33885,Helena
kalispell,mt,28450,Kalispell
missoula,mt,76955,Missoula
bellevue,ne,63015,Bellevue
columbus,ne,24195,Columbus
fremont,ne,27318,Fremont
grand-island,ne,52513,Grand Island
hastings,ne,24927,Hastings
kearney,ne,34277,Kearney
lincoln,ne,292627,Lincoln
norfolk,ne,25928,Norfolk
north-platte,ne,22722,North Platte
omaha,ne,485153,Omaha
papillion,ne,23794,Papillion
carson-city,nv,58130,Carson City
elko,nv,20756,Elko
fernley,nv,24261,Fernley
henderson,nv,331415,Henderson
las-vegas,nv,656274,Las Vegas
mesquite,nv,21992,Mesquite
north-las-vegas,nv,280543,North Las Vegas
reno,nv,273448,Reno
sparks,nv,109226,Sparks
concord,nh,44503,Concord
dover,nh,33416,Dover
keene,nh,22774,Keene
manchester,nh,115141,Manchester
nashua,nh,91161,Nashua
portsmouth,nh,22713,Portsmouth
rochester,nh,33169,Rochester
atlantic-city,nj,38561,Atlantic City
bayonne,nj,69527,Bayonne
bergenfield,nj,28163,Bergenfield
bridgeton,nj,26410,Bridgeton
camden,nj,70996,Camden
carteret,nj,25176,Carteret
cliffside-park,nj,25560,Cliffside Park
clifton,nj,88709,Clifton
east-orange,nj,68446,East Orange
